"id","external_link","external_link_text"
"15,196","https://docs.google.com/a/boston.gov/file/d/0B1DqgMKaY4eDaUhpS3JiV01SY01ycEp3UWRvb1p0cDdnX0xR/preview","Detailed list of the application process"
"15,201","https://drive.google.com/a/boston.gov/file/d/0B1T6IHC1ieCfX0EyYU56RnNCVWYwVFZOUERBMmFka05HWW5F/view","See a flow chart of how to apply"
"16,101","http://documents.boston.gov/images_documents/Copy%20of%20ATC%20Outdoor%20DAS%20LLC-license-20120112_tcm3-53261.pdf","American Tower license agreement"
"16,106","http://documents.boston.gov/images_documents/Copy%20of%20CrownCastle-NextG%20License%20Agreement_tcm3-53260.pdf","Crown Castle - NextG license agreement"
"16,111","http://documents.boston.gov/images_documents/Copy%20of%20ESI-Extenet-NationalGridDAS-License20070807_tcm3-53257.pdf","Extenet - National Grid license agreement"
"16,116","http://documents.boston.gov/images_documents/City%20of%20Boston%20%26%20Verizon%20DAS%20License%20Agreement_tcm3-53259.pdf","Verizon license agreement"
"16,436","http://www.massbar.org/for-the-public/need-a-lawyer","State Bar Association"
"16,441","http://www.bostonbar.org/","Boston Bar Association"
"16,446","http://www.massbar.org/for-the-public/public-information/dial-a-lawyer","Dial-a-Lawyer"
"16,451","http://www.reba.net/page/referral","Real Estate Bar Association"
"16,461","http://www.mass.gov/mcad/","Mass. Commission Against Discrimination"
"16,466","http://www.bostonfairhousing.org/","Fair Housing Center of Greater Boston"
"16,496","https://www.masshousing.com/portal/server.pt/community/home/217/home","Mass. Housing"
"16,506","http://www.bostonplans.org/","Boston Planning &amp; Development Agency"
"16,516","http://www.mass.gov/courts/selfhelp/housing/","Massachusetts Housing Court"
"16,526","http://www.bostonbarlawyer.org/","Boston Bar Association's referral service"
"16,536","http://www.gbls.org/","Greater Boston Legal Services"
"16,561","http://documents.boston.gov/images_documents/occupancystds_tcm3-39043.pdf","Fair housing occupancy standards"
"16,566","http://documents.boston.gov/images_documents/BFHC%20ordinance_tcm3-45623.pdf","US Department of Housing and Urban Development Guidelines"
